,scanID,segmethod,hemisphere,nuclei,AVGDIST,manufacturerCode,model,fieldStrength
0,0,t1thomas,left,2,0.439672,2,Intera,1.5
1,0,t1thomas,right,2,0.28985,2,Intera,1.5
2,0,t1thomas,left,4,0.744362,2,Intera,1.5
3,0,t1thomas,right,4,0.479805,2,Intera,1.5
4,0,t1thomas,left,5,1.161694,2,Intera,1.5
5,0,t1thomas,right,5,0.971285,2,Intera,1.5
6,0,t1thomas,left,6,0.765318,2,Intera,1.5
7,0,t1thomas,right,6,0.632935,2,Intera,1.5
8,0,t1thomas,left,7,1.058426,2,Intera,1.5
9,0,t1thomas,right,7,0.737749,2,Intera,1.5
10,0,t1thomas,left,8,0.456571,2,Intera,1.5
11,0,t1thomas,right,8,0.649188,2,Intera,1.5
12,0,t1thomas,left,9,0.667386,2,Intera,1.5
13,0,t1thomas,right,9,1.166489,2,Intera,1.5
14,0,t1thomas,left,10,2.31216,2,Intera,1.5
15,0,t1thomas,right,10,3.177059,2,Intera,1.5
16,0,t1thomas,left,11,1.89838,2,Intera,1.5
17,0,t1thomas,right,11,1.666676,2,Intera,1.5
18,0,t1thomas,left,12,1.080099,2,Intera,1.5
19,0,t1thomas,right,12,0.891205,2,Intera,1.5
20,0,hipsthomas,left,2,0.783757,2,Intera,1.5
21,0,hipsthomas,right,2,0.429927,2,Intera,1.5
22,0,hipsthomas,left,4,0.665454,2,Intera,1.5
23,0,hipsthomas,right,4,0.430317,2,Intera,1.5
24,0,hipsthomas,left,5,1.116729,2,Intera,1.5
25,0,hipsthomas,right,5,1.110896,2,Intera,1.5
26,0,hipsthomas,left,6,0.384359,2,Intera,1.5
27,0,hipsthomas,right,6,0.499412,2,Intera,1.5
28,0,hipsthomas,left,7,0.600445,2,Intera,1.5
29,0,hipsthomas,right,7,0.63482,2,Intera,1.5
30,0,hipsthomas,left,8,0.676282,2,Intera,1.5
31,0,hipsthomas,right,8,1.061908,2,Intera,1.5
32,0,hipsthomas,left,9,0.553641,2,Intera,1.5
33,0,hipsthomas,right,9,1.166411,2,Intera,1.5
34,0,hipsthomas,left,10,2.386297,2,Intera,1.5
35,0,hipsthomas,right,10,3.001926,2,Intera,1.5
36,0,hipsthomas,left,11,0.513913,2,Intera,1.5
37,0,hipsthomas,right,11,0.757466,2,Intera,1.5
38,0,hipsthomas,left,12,0.526146,2,Intera,1.5
39,0,hipsthomas,right,12,0.556165,2,Intera,1.5
40,1,t1thomas,left,2,0.616863,3,Aera,1.5
41,1,t1thomas,right,2,0.41689,3,Aera,1.5
42,1,t1thomas,left,4,0.618741,3,Aera,1.5
43,1,t1thomas,right,4,0.486299,3,Aera,1.5
44,1,t1thomas,left,5,1.387891,3,Aera,1.5
45,1,t1thomas,right,5,1.189307,3,Aera,1.5
46,1,t1thomas,left,6,0.430866,3,Aera,1.5
47,1,t1thomas,right,6,0.431376,3,Aera,1.5
48,1,t1thomas,left,7,0.823446,3,Aera,1.5
49,1,t1thomas,right,7,0.464801,3,Aera,1.5
50,1,t1thomas,left,8,0.49792,3,Aera,1.5
51,1,t1thomas,right,8,0.642724,3,Aera,1.5
52,1,t1thomas,left,9,0.680987,3,Aera,1.5
53,1,t1thomas,right,9,1.418242,3,Aera,1.5
54,1,t1thomas,left,10,2.306016,3,Aera,1.5
55,1,t1thomas,right,10,2.6902,3,Aera,1.5
56,1,t1thomas,left,11,0.666176,3,Aera,1.5
57,1,t1thomas,right,11,0.9953,3,Aera,1.5
58,1,t1thomas,left,12,0.657688,3,Aera,1.5
59,1,t1thomas,right,12,0.733343,3,Aera,1.5
60,1,hipsthomas,left,2,0.650936,3,Aera,1.5
61,1,hipsthomas,right,2,0.401054,3,Aera,1.5
62,1,hipsthomas,left,4,0.929422,3,Aera,1.5
63,1,hipsthomas,right,4,0.58074,3,Aera,1.5
64,1,hipsthomas,left,5,1.180987,3,Aera,1.5
65,1,hipsthomas,right,5,0.89584,3,Aera,1.5
66,1,hipsthomas,left,6,0.506474,3,Aera,1.5
67,1,hipsthomas,right,6,0.6397,3,Aera,1.5
68,1,hipsthomas,left,7,1.254403,3,Aera,1.5
69,1,hipsthomas,right,7,0.821253,3,Aera,1.5
70,1,hipsthomas,left,8,0.665353,3,Aera,1.5
